"phase","slug","status","scope","parser_path","writer_path","deploy_path","payment_path"
"V1778","v1778-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1779","v1779-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1780","v1780-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1781","v1781-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1782","v1782-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1783","v1783-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1784","v1784-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1785","v1785-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1786","v1786-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1787","v1787-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1788","v1788-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1789","v1789-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1790","v1790-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1791","v1791-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1792","v1792-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1793","v1793-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1794","v1794-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1795","v1795-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1796","v1796-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1797","v1797-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1798","v1798-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1799","v1799-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1800","v1800-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1801","v1801-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1802","v1802-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1803","v1803-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1804","v1804-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1805","v1805-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1806","v1806-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1807","v1807-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1808","v1808-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1809","v1809-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1810","v1810-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1811","v1811-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1812","v1812-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1813","v1813-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1814","v1814-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1815","v1815-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1816","v1816-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
