source,relative,extension,reason
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM25.PCM","NEWNAME.SET\PCM\RAM25.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM26.PCM","NEWNAME.SET\PCM\RAM26.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM27.PCM","NEWNAME.SET\PCM\RAM27.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM28.PCM","NEWNAME.SET\PCM\RAM28.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM29.PCM","NEWNAME.SET\PCM\RAM29.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM30.PCM","NEWNAME.SET\PCM\RAM30.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM31.PCM","NEWNAME.SET\PCM\RAM31.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM32.PCM","NEWNAME.SET\PCM\RAM32.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM33.PCM","NEWNAME.SET\PCM\RAM33.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM34.PCM","NEWNAME.SET\PCM\RAM34.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM35.PCM","NEWNAME.SET\PCM\RAM35.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM36.PCM","NEWNAME.SET\PCM\RAM36.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM37.PCM","NEWNAME.SET\PCM\RAM37.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM38.PCM","NEWNAME.SET\PCM\RAM38.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM39.PCM","NEWNAME.SET\PCM\RAM39.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM40.PCM","NEWNAME.SET\PCM\RAM40.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM41.PCM","NEWNAME.SET\PCM\RAM41.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM42.PCM","NEWNAME.SET\PCM\RAM42.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM43.PCM","NEWNAME.SET\PCM\RAM43.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM44.PCM","NEWNAME.SET\PCM\RAM44.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM45.PCM","NEWNAME.SET\PCM\RAM45.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM46.PCM","NEWNAME.SET\PCM\RAM46.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM47.PCM","NEWNAME.SET\PCM\RAM47.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM48.PCM","NEWNAME.SET\PCM\RAM48.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM49.PCM","NEWNAME.SET\PCM\RAM49.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM50.PCM","NEWNAME.SET\PCM\RAM50.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM51.PCM","NEWNAME.SET\PCM\RAM51.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM52.PCM","NEWNAME.SET\PCM\RAM52.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM53.PCM","NEWNAME.SET\PCM\RAM53.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM54.PCM","NEWNAME.SET\PCM\RAM54.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM55.PCM","NEWNAME.SET\PCM\RAM55.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM56.PCM","NEWNAME.SET\PCM\RAM56.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM57.PCM","NEWNAME.SET\PCM\RAM57.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM58.PCM","NEWNAME.SET\PCM\RAM58.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM59.PCM","NEWNAME.SET\PCM\RAM59.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM60.PCM","NEWNAME.SET\PCM\RAM60.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM61.PCM","NEWNAME.SET\PCM\RAM61.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM62.PCM","NEWNAME.SET\PCM\RAM62.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM63.PCM","NEWNAME.SET\PCM\RAM63.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM64.PCM","NEWNAME.SET\PCM\RAM64.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM65.PCM","NEWNAME.SET\PCM\RAM65.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM66.PCM","NEWNAME.SET\PCM\RAM66.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM67.PCM","NEWNAME.SET\PCM\RAM67.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM68.PCM","NEWNAME.SET\PCM\RAM68.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM69.PCM","NEWNAME.SET\PCM\RAM69.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM70.PCM","NEWNAME.SET\PCM\RAM70.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM71.PCM","NEWNAME.SET\PCM\RAM71.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM72.PCM","NEWNAME.SET\PCM\RAM72.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM73.PCM","NEWNAME.SET\PCM\RAM73.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM74.PCM","NEWNAME.SET\PCM\RAM74.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM75.PCM","NEWNAME.SET\PCM\RAM75.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM76.PCM","NEWNAME.SET\PCM\RAM76.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM77.PCM","NEWNAME.SET\PCM\RAM77.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM78.PCM","NEWNAME.SET\PCM\RAM78.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM79.PCM","NEWNAME.SET\PCM\RAM79.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM80.PCM","NEWNAME.SET\PCM\RAM80.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM81.PCM","NEWNAME.SET\PCM\RAM81.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM82.PCM","NEWNAME.SET\PCM\RAM82.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM83.PCM","NEWNAME.SET\PCM\RAM83.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM84.PCM","NEWNAME.SET\PCM\RAM84.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM85.PCM","NEWNAME.SET\PCM\RAM85.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM86.PCM","NEWNAME.SET\PCM\RAM86.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM87.PCM","NEWNAME.SET\PCM\RAM87.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM88.PCM","NEWNAME.SET\PCM\RAM88.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM89.PCM","NEWNAME.SET\PCM\RAM89.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM90.PCM","NEWNAME.SET\PCM\RAM90.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM91.PCM","NEWNAME.SET\PCM\RAM91.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM92.PCM","NEWNAME.SET\PCM\RAM92.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM93.PCM","NEWNAME.SET\PCM\RAM93.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM94.PCM","NEWNAME.SET\PCM\RAM94.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM95.PCM","NEWNAME.SET\PCM\RAM95.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM96.PCM","NEWNAME.SET\PCM\RAM96.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM97.PCM","NEWNAME.SET\PCM\RAM97.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM98.PCM","NEWNAME.SET\PCM\RAM98.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM99.PCM","NEWNAME.SET\PCM\RAM99.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK01.PRF","NEWNAME.SET\PERFORM\BANK01.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK02.PRF","NEWNAME.SET\PERFORM\BANK02.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK03.PRF","NEWNAME.SET\PERFORM\BANK03.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK04.PRF","NEWNAME.SET\PERFORM\BANK04.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK05.PRF","NEWNAME.SET\PERFORM\BANK05.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK06.PRF","NEWNAME.SET\PERFORM\BANK06.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK07.PRF","NEWNAME.SET\PERFORM\BANK07.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK08.PRF","NEWNAME.SET\PERFORM\BANK08.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK09.PRF","NEWNAME.SET\PERFORM\BANK09.PRF",".prf","Forbidden keyboard/package extension blocked."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PERFORM\BANK10.PRF","NEWNAME.SET\PERFORM\BANK10.PRF",".prf","Forbidden keyboard/package extension blocked."
